,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
83,0,,,,,,,,,,,,,,,,,,,,,
84,0,,,,,,,,,,,,,,,,,,,,,
85,0,,,,,,,,,,,,,,,,,,,,,
86,0,,,,,,,,,,,,,,,,,,,,,
87,0,,,,,,,,,,,,,,,,,,,,,
88,0,,,,,,,,,,,,,,,,,,,,,
89,0,,,,,,,,,,,,,,,,,,,,,
90,0,,,,,,,,,,,,,,,,,,,,,
91,0,,,,,,,,,,,,,,,,,,,,,
92,0,,,,,,,,,,,,,,,,,,,,,
93,0,,,,,,,,,,,,,,,,,,,,,
94,0,,,,,,,,,,,,,,,,,,,,,
95,0,,,,,,,,,,,,,,,,,,,,,
96,0,,,,,,,,,,,,,,,,,,,,,
97,0,3.921490430831909,5.96297812461853,9.377292156219482,12.260900020599365,12.970874547958374,14.258179664611816,15.025982141494751,15.793781757354736,23.012420415878296,23.969780683517456,24.52141261100769,24.821337938308716,26.531731128692627,30.376330137252808,32.02657461166382,32.41047692298889,32.69043707847595,33.179290771484375,45.59443998336792,51.9458372592926,
98,0,9.953143119812012,32.99697709083557,,,,,,,,,,,,,,,,,,,
99,0,38.91532325744629,44.96527171134949,,,,,,,,,,,,,,,,,,,
100,0,5.243161201477051,12.572819709777832,14.58612060546875,16.07373285293579,18.19430923461914,20.820466995239258,27.805668354034424,,,,,,,,,,,,,,
101,0,4.145414590835571,7.522016763687134,9.261324167251587,16.225674629211426,20.510398149490356,36.337158203125,36.709052324295044,37.33743906021118,40.36294674873352,41.60170793533325,44.595210313797,45.361422538757324,46.373165130615234,50.47493648529053,51.71376705169678,52.948272943496704,,,,,
102,0,19.993874073028564,47.825451374053955,,,,,,,,,,,,,,,,,,,
103,0,28.805392265319824,53.29786443710327,,,,,,,,,,,,,,,,,,,
104,0,6.241264820098877,11.5945725440979,14.75412106513977,17.02927017211914,23.489790201187134,24.389447450637817,32.306503772735596,36.62108135223389,39.13926458358765,40.27096915245056,51.55526661872864,53.48568081855774,,,,,,,,,
105,0,4.385354042053223,5.471104860305786,8.891240119934082,10.796901941299438,18.886138677597046,20.370440006256104,21.12838840484619,22.421820402145386,23.657850980758667,26.237515687942505,28.517468214035034,29.117308855056763,29.650362730026245,29.816474676132202,29.976431369781494,30.096402645111084,35.600990772247314,40.7308554649353,42.67572522163391,43.875163078308105,53.08980131149292
106,0,,,,,,,,,,,,,,,,,,,,,
107,0,11.410618305206299,,,,,,,,,,,,,,,,,,,,
108,0,19.697947025299072,31.402735710144043,31.546701192855835,35.9133780002594,43.55706572532654,44.43525242805481,,,,,,,,,,,,,,,
109,0,3.0736916065216064,4.057452440261841,4.741266250610352,14.154209613800049,17.588298797607422,22.13962459564209,26.63569736480713,38.17151999473572,,,,,,,,,,,,,
110,0,3.8255152702331543,10.516217470169067,10.940871477127075,12.428858280181885,20.676504373550415,24.677375316619873,28.665424346923828,29.282455921173096,32.56243848800659,42.83569264411926,,,,,,,,,,,
111,0,7.370173215866089,10.089109897613525,36.105340003967285,47.50151562690735,,,,,,,,,,,,,,,,,
112,0,15.461872816085815,,,,,,,,,,,,,,,,,,,,
113,0,,,,,,,,,,,,,,,,,,,,,
114,0,5.82701301574707,7.442173004150391,10.33932089805603,15.633832454681396,19.17006278038025,20.161813020706177,36.81302523612976,37.52367162704468,41.8013961315155,45.1715087890625,46.28518843650818,50.65888810157776,,,,,,,,,
115,0,4.48533821105957,9.553245067596436,16.36964178085327,22.554908275604248,22.738859176635742,23.461770057678223,24.091368913650513,26.89802074432373,33.37923312187195,40.10700964927673,40.89881110191345,,,,,,,,,,
116,0,5.5870747566223145,6.130936145782471,24.301478385925293,27.097891330718994,30.256359815597534,42.47460126876831,44.09111475944519,44.24518918991089,45.885582447052,53.585652112960815,,,,,,,,,,,
117,0,4.923243522644043,23.299636125564575,27.413767337799072,38.41943955421448,46.153900146484375,,,,,,,,,,,,,,,,
118,0,36.28924036026001,37.30944848060608,41.37684416770935,50.246994495391846,52.111897468566895,,,,,,,,,,,,,,,,
119,0,9.253323078155518,12.792792320251465,52.72197151184082,,,,,,,,,,,,,,,,,,
120,0,,,,,,,,,,,,,,,,,,,,,
121,0,3.449594020843506,14.934004545211792,17.812247037887573,23.21965742111206,27.405762195587158,28.339338779449463,37.69962430000305,42.00124907493591,43.0523681640625,51.03704643249512,52.35403275489807,,,,,,,,,,
122,0,,,,,,,,,,,,,,,,,,,,,
123,0,,,,,,,,,,,,,,,,,,,,,
124,0,,,,,,,,,,,,,,,,,,,,,
125,0,,,,,,,,,,,,,,,,,,,,,
126,0,,,,,,,,,,,,,,,,,,,,,
127,0,,,,,,,,,,,,,,,,,,,,,
128,0,,,,,,,,,,,,,,,,,,,,,
129,0,,,,,,,,,,,,,,,,,,,,,
130,0,,,,,,,,,,,,,,,,,,,,,
131,0,,,,,,,,,,,,,,,,,,,,,
132,0,,,,,,,,,,,,,,,,,,,,,
133,0,,,,,,,,,,,,,,,,,,,,,
134,0,,,,,,,,,,,,,,,,,,,,,
135,0,,,,,,,,,,,,,,,,,,,,,
136,0,,,,,,,,,,,,,,,,,,,,,
137,0,,,,,,,,,,,,,,,,,,,,,
138,0,,,,,,,,,,,,,,,,,,,,,
139,0,,,,,,,,,,,,,,,,,,,,,
140,0,,,,,,,,,,,,,,,,,,,,,
141,0,,,,,,,,,,,,,,,,,,,,,
142,0,,,,,,,,,,,,,,,,,,,,,
143,0,,,,,,,,,,,,,,,,,,,,,
144,0,,,,,,,,,,,,,,,,,,,,,
145,0,,,,,,,,,,,,,,,,,,,,,
146,0,,,,,,,,,,,,,,,,,,,,,
147,0,,,,,,,,,,,,,,,,,,,,,
148,0,,,,,,,,,,,,,,,,,,,,,
149,0,,,,,,,,,,,,,,,,,,,,,
150,0,,,,,,,,,,,,,,,,,,,,,
151,0,,,,,,,,,,,,,,,,,,,,,
152,0,,,,,,,,,,,,,,,,,,,,,
153,0,,,,,,,,,,,,,,,,,,,,,
154,0,,,,,,,,,,,,,,,,,,,,,
155,0,,,,,,,,,,,,,,,,,,,,,
156,0,,,,,,,,,,,,,,,,,,,,,
157,0,,,,,,,,,,,,,,,,,,,,,
158,0,,,,,,,,,,,,,,,,,,,,,
159,0,,,,,,,,,,,,,,,,,,,,,
160,0,,,,,,,,,,,,,,,,,,,,,
161,0,,,,,,,,,,,,,,,,,,,,,
162,0,,,,,,,,,,,,,,,,,,,,,
163,0,,,,,,,,,,,,,,,,,,,,,
164,0,,,,,,,,,,,,,,,,,,,,,
165,0,,,,,,,,,,,,,,,,,,,,,
166,0,,,,,,,,,,,,,,,,,,,,,
167,0,,,,,,,,,,,,,,,,,,,,,
168,0,,,,,,,,,,,,,,,,,,,,,
169,0,,,,,,,,,,,,,,,,,,,,,
170,0,,,,,,,,,,,,,,,,,,,,,
171,0,,,,,,,,,,,,,,,,,,,,,
172,0,,,,,,,,,,,,,,,,,,,,,
173,0,,,,,,,,,,,,,,,,,,,,,
174,0,,,,,,,,,,,,,,,,,,,,,
175,0,,,,,,,,,,,,,,,,,,,,,
176,0,,,,,,,,,,,,,,,,,,,,,
177,0,,,,,,,,,,,,,,,,,,,,,
178,0,,,,,,,,,,,,,,,,,,,,,
179,0,,,,,,,,,,,,,,,,,,,,,
180,0,,,,,,,,,,,,,,,,,,,,,
181,0,,,,,,,,,,,,,,,,,,,,,
182,0,,,,,,,,,,,,,,,,,,,,,
183,0,,,,,,,,,,,,,,,,,,,,,
184,0,,,,,,,,,,,,,,,,,,,,,
185,0,,,,,,,,,,,,,,,,,,,,,
186,0,,,,,,,,,,,,,,,,,,,,,
187,0,,,,,,,,,,,,,,,,,,,,,
188,0,,,,,,,,,,,,,,,,,,,,,
189,0,,,,,,,,,,,,,,,,,,,,,
190,0,,,,,,,,,,,,,,,,,,,,,
191,0,,,,,,,,,,,,,,,,,,,,,
192,0,,,,,,,,,,,,,,,,,,,,,
193,0,,,,,,,,,,,,,,,,,,,,,
194,0,,,,,,,,,,,,,,,,,,,,,
195,0,,,,,,,,,,,,,,,,,,,,,
196,0,,,,,,,,,,,,,,,,,,,,,
197,0,,,,,,,,,,,,,,,,,,,,,
198,0,,,,,,,,,,,,,,,,,,,,,
199,0,,,,,,,,,,,,,,,,,,,,,
200,0,,,,,,,,,,,,,,,,,,,,,
201,0,,,,,,,,,,,,,,,,,,,,,
202,0,,,,,,,,,,,,,,,,,,,,,
203,0,,,,,,,,,,,,,,,,,,,,,
204,0,,,,,,,,,,,,,,,,,,,,,
205,0,,,,,,,,,,,,,,,,,,,,,
206,0,,,,,,,,,,,,,,,,,,,,,
207,0,,,,,,,,,,,,,,,,,,,,,
208,0,,,,,,,,,,,,,,,,,,,,,
209,0,,,,,,,,,,,,,,,,,,,,,
210,0,,,,,,,,,,,,,,,,,,,,,
211,0,,,,,,,,,,,,,,,,,,,,,
212,0,,,,,,,,,,,,,,,,,,,,,
213,0,,,,,,,,,,,,,,,,,,,,,
214,0,,,,,,,,,,,,,,,,,,,,,
215,0,,,,,,,,,,,,,,,,,,,,,
216,0,,,,,,,,,,,,,,,,,,,,,
217,0,,,,,,,,,,,,,,,,,,,,,
218,0,,,,,,,,,,,,,,,,,,,,,
219,0,,,,,,,,,,,,,,,,,,,,,
220,0,,,,,,,,,,,,,,,,,,,,,
221,0,,,,,,,,,,,,,,,,,,,,,
222,0,,,,,,,,,,,,,,,,,,,,,
223,0,,,,,,,,,,,,,,,,,,,,,
224,0,,,,,,,,,,,,,,,,,,,,,
225,0,,,,,,,,,,,,,,,,,,,,,
226,0,,,,,,,,,,,,,,,,,,,,,
227,0,,,,,,,,,,,,,,,,,,,,,
228,0,,,,,,,,,,,,,,,,,,,,,
229,0,,,,,,,,,,,,,,,,,,,,,
230,0,,,,,,,,,,,,,,,,,,,,,
231,0,,,,,,,,,,,,,,,,,,,,,
232,0,,,,,,,,,,,,,,,,,,,,,
233,0,,,,,,,,,,,,,,,,,,,,,
234,0,,,,,,,,,,,,,,,,,,,,,
235,0,,,,,,,,,,,,,,,,,,,,,
236,0,,,,,,,,,,,,,,,,,,,,,
237,0,,,,,,,,,,,,,,,,,,,,,
238,0,,,,,,,,,,,,,,,,,,,,,
239,0,,,,,,,,,,,,,,,,,,,,,
240,0,,,,,,,,,,,,,,,,,,,,,
241,0,,,,,,,,,,,,,,,,,,,,,
242,0,,,,,,,,,,,,,,,,,,,,,
243,0,,,,,,,,,,,,,,,,,,,,,
244,0,,,,,,,,,,,,,,,,,,,,,
245,0,,,,,,,,,,,,,,,,,,,,,
246,0,,,,,,,,,,,,,,,,,,,,,
247,0,,,,,,,,,,,,,,,,,,,,,
248,0,,,,,,,,,,,,,,,,,,,,,
249,0,,,,,,,,,,,,,,,,,,,,,
250,0,,,,,,,,,,,,,,,,,,,,,
251,0,,,,,,,,,,,,,,,,,,,,,
252,0,,,,,,,,,,,,,,,,,,,,,
253,0,,,,,,,,,,,,,,,,,,,,,
254,0,,,,,,,,,,,,,,,,,,,,,
255,0,,,,,,,,,,,,,,,,,,,,,
